t,mse,failures
753, 11306.131130539226, 0
754, 11306.131130539226, 0
755, 11306.131130539226, 0
756, 11306.131130539226, 0
757, 11306.131130539226, 0
758, 11306.131130539226, 0
759, 11306.131130539226, 0
760, 11306.131130539226, 0
761, 11306.131130539226, 0
762, 11306.131130539226, 0
763, 11306.131130539226, 0
764, 11306.131130539226, 0
765, 11306.131130539226, 0
766, 11306.131130539226, 0
767, 11306.131130539226, 0
768, 11306.131130539226, 0
769, 11306.131130539226, 0
770, 11306.131130539226, 0
771, 11306.131130539226, 0
772, 11306.131130539226, 0
773, 11306.131130539226, 0
774, 11306.131130539226, 0
775, 11306.131130539226, 0
776, 11306.131130539226, 0
777, 11306.131130539226, 0
778, 11306.131130539226, 0
779, 11306.131130539226, 0
780, 11306.131130539226, 0
781, 11306.131130539226, 0
782, 11306.131130539226, 0
783, 11306.131130539226, 0
784, 11306.131130539226, 0
785, 11306.131130539226, 0
786, 11306.131130539226, 0
787, 11306.131130539226, 0
788, 11306.131130539226, 0
789, 11306.131130539226, 0
790, 11306.131130539226, 0
791, 11306.131130539226, 0
792, 11306.131130539226, 0
793, 11306.131130539226, 0
794, 11306.131130539226, 0
795, 11306.131130539226, 0
796, 11306.131130539226, 0
797, 11306.131130539226, 0
798, 11306.131130539226, 0
799, 11306.131130539226, 0
800, 11306.131130539226, 0
801, 11306.131130539226, 0
802, 11306.131130539226, 0
803, 11306.131130539226, 0
804, 11306.131130539226, 0
805, 11306.131130539226, 0
806, 11306.131130539226, 0
807, 11306.131130539226, 0
808, 11306.131130539226, 0
809, 11306.131130539226, 0
810, 11306.131130539226, 0
811, 11306.131130539226, 0
812, 11306.131130539226, 0
813, 11306.131130539226, 0
814, 11306.131130539226, 0
815, 11306.131130539226, 0
816, 11306.131130539226, 0
817, 11306.131130539226, 0
818, 11306.131130539226, 0
819, 11306.131130539226, 0
820, 11306.131130539226, 0
821, 11306.131130539226, 0
822, 11306.131130539226, 0
823, 11306.131130539226, 0
824, 11306.131130539226, 0
825, 11306.131130539226, 0
826, 11306.131130539226, 0
827, 11306.131130539226, 0
828, 11306.131130539226, 0
829, 11306.131130539226, 0
830, 11306.131130539226, 0
831, 11306.131130539226, 0
832, 11306.131130539226, 0
