0, Infinity, Infinity, 86310.25642827815, Infinity, 87244.0647337767, 85924.87378699318, Infinity, Infinity, 2.237545196951416E269, 441114.53780626267, Infinity, 87244.0647337767, Infinity, Infinity, 6.287780297397244E8, Infinity, Infinity, Infinity, 4.665524109288783E168, 1.618936348145231E81
27, 19058.464896153095, 18686.79789668599, 18810.788828687255, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18997.26633721736, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.886111139298, 20722.52042881949, 23734.75057425069
28, 18150.88329583529, 18686.79789668599, 18810.788828687255, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18997.26633721736, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.886111139298, 20722.52042881949
29, 18958.273338534673, 18686.79789668599, 18810.788828687255, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18997.26633721736, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.886111139298, 20722.52042881949
30, 19058.464896153095, 18686.79789668599, 18810.788828687255, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.886111139298
31, 19058.464896153095, 18686.79789668599, 18810.788828687255, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095
32, 18769.684029492353, 18686.79789668599, 18810.788828687255, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095
33, 19123.714607441478, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095
34, 19058.464896153095, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095
35, 19058.464896153095, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095
36, 19013.20591850276, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095
37, 18830.71176854313, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19013.20591850276, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095
38, 19058.464896153095, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18830.71176854313, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19013.20591850276, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095
39, 19058.464896153095, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18830.71176854313, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19013.20591850276, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095
40, 18834.80241182439, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18830.71176854313, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19013.20591850276, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095
41, 19058.464896153095, 18686.79789668599, 18769.684029492353, 18810.788828687255, 18830.71176854313, 18834.80241182439, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18958.273338534673, 18997.26633721736, 19013.20591850276, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095
